Region	Country	Country_income_level	Organization_name	Type_of_organization	Organization_description	Sector	URL	City	State_County	Founding_year	Size	Type_of_data_used	Application_Advocacy	Advocacy_description	Application_Product_Service	Product_Service_Description	Application_Organizational_Optimization	Organizational_Optimization_Description	Application_Research	Research_Description	Application_Other	Other_Description
Europe & Central Asia	Finland	High income	Infotripla	For-profit	Infotripla services and products are especially targeted to smart mobility and transport with solutions for traffic information and data collection.	Transportation and logistics	http://infotripla.fi/	Tampere	Pirkanmaa	2015		Transportation	FALSE		TRUE	Infotripla uses open transportation data in various ways, e.g. provided a transport city portal solution for the City of Oulu; developed a trip planner for the city of Lahti; increase the coverage and reliability of the open transportation information with proprietary floating car data. 	FALSE		FALSE		FALSE	
Europe & Central Asia	Belgium	High income	FSTR	For-profit	FSTR.data provides trajectory-data (private and public transport) that enable third parties to develop ride sharing/route planning applications (for commuters) that lead to CO2 reduction and improve mobility for EU-citizens.	Transportation and logistics	http://www.fstr.eu/	Ghent	Flanders	2011	1 to 10	Geospatial, Transportation, Transportation, Transportation	FALSE		TRUE	Uses open data to accurately predict private ÃƒÂ nd public transport routing, enabling third parties to develop ride sharing/route planning applications	FALSE		FALSE		FALSE	
East Asia & Pacific	Australia	High income	Grofsoft	For-profit	Grofsoft are the developers of TripView, which lets users see Sydney train, bus and ferry timetable data on their mobile devices in real time.	Transportation and logistics	http://www.grofsoft.com	Sydney	New South Wales	2009	1 to 10	Transportation	FALSE		TRUE	Developers of TripView, TrainView, and other apps that use open transportation data to provide access to bus, route and timetable data of bus organisations and government authorities.	FALSE		FALSE		FALSE	
Latin America & Caribbean	Uruguay	High income	ParkingAP	For-profit	ParkingAP is a company that provides users with information about parking lot location, new bicycle frames, etc. The comany also aims to provide customized services for clients when they have issues such as car accident, car theft, etc. 	Transportation and logistics	http://www.parkingap.com.uy/	Montevideo	Montevideo Department	2015	11 to 50		FALSE		TRUE	App uses open data to find parking garages and general bike information.	FALSE		FALSE		FALSE	
North America	United States	High income	Port of Port Angeles	Other	The Port of Port Angeles is a municipal corporation responsible for promoting and enhancing the economic vitality of Clallam County through business development and job creation, and serves the community as both a public steward and an economically self-sustaining enterprise.	Transportation and logistics	http://www.portofpa.com/	Port Angeles	Washington	1923	1 to 10	Government operations, Demographic and social, Education, Business, Economic, Environment, Geospatial, Energy	FALSE		FALSE		TRUE	Uses open data to find information on potential tenants of marine terminals, or airport tenants.	FALSE		FALSE	
East Asia & Pacific	Australia	High income	Appjourney	For-profit	Appjourney is the developer of Triptastic, which provices real-time transit information on public transportation.	Transportation and logistics	http://www.triptasticapp.com	Sydney	New South Wales	2013		Transportation	FALSE		TRUE	Developers of Triptastic app which uses local transport data to provide real-time transit information to users.	FALSE		FALSE		FALSE	
East Asia & Pacific	Korea, Rep.	High income	moduparking	For-profit	moduparking is a platform sharing location-based parking lots and spaces.	Transportation and logistics	http://www.moduparking.com	Seoul		2014	1 to 10	Geospatial	FALSE		TRUE	moduparking app is based on GPS data to geolocate cars and parking spots.	FALSE		FALSE		FALSE	
North America	United States	High income	GasBuddy OpenStore	For-profit	GasBuddy OpenStore operates websites and mobile apps that report fuel prices to the public throughcrowdsourcing and relationships with stations and credit card companies.	Transportation and logistics	http://www.gasbuddy.com/	Boston	Massachusetts	2000	51 to 200	Geospatial	FALSE		TRUE	GasBuddy uses GPS open data to directs users to nearby gas stations sorted by price and distance.	FALSE		FALSE		FALSE	
Europe & Central Asia	Germany	High income	PTV Group	For-profit	PTV Group plans and optimises everything that moves people and goods worldwide Ã¢â‚¬â€œ be it transport routes, distribution structures or private and public transport.	Transportation and logistics	http://www.ptvgroup.com	Karlsruhe	Baden-WÃƒÂ¼rttemberg	1979	201 to 1000	Geospatial, Transportation, Transportation	FALSE		FALSE		TRUE		FALSE		FALSE	
North America	United States	High income	Wheaton World Wide Moving	For-profit	Wheaton World Wide Moving is a transportation service provider that conducts corporate relocations, interstate moves, relocation services, military and special moves.	Transportation and logistics	http://www.wheatonworldwide.com/	Indianapolis	Indiana	1945	51 to 200	Geospatial	FALSE		FALSE		TRUE		FALSE		FALSE	
